pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_fp,val_fn,seg_score,cls_score,balanced_score
0.44999998807907104,60,20,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,5,80,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,40,40,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,5,60,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,40,20,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,60,100,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,1,20,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,1,100,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,60,40,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
0.44999998807907104,40,100,0.6699185470699336,0.8023367945045521,0.831118017700834,0.7754822128710023,0.8023367945045059,0.9279279279279279,0.8973509933774835,0.9678571428571429,0.9312714776632303,31,9,0.7467981962445134,0.9200069208980078,0.7967959251979119
