epoch,dice_coef,iou_metric,learning_rate,loss,val_dice_coef,val_iou_metric,val_loss
0,0.8069639801979065,0.692586362361908,1.2499999968440534e-07,0.2477041482925415,0.7674162983894348,0.6368408203125,0.29727140069007874
1,0.8079137802124023,0.6948770880699158,1.2499999968440534e-07,0.2458726465702057,0.7672275304794312,0.6365690231323242,0.29756760597229004
2,0.8017187714576721,0.6895776987075806,1.2499999968440534e-07,0.25295180082321167,0.7673012018203735,0.6366502642631531,0.29742544889450073
3,0.8126794695854187,0.6970279216766357,1.2499999968440534e-07,0.24273914098739624,0.7673605680465698,0.6366689205169678,0.2974202334880829
4,0.8007251620292664,0.6854514479637146,1.2499999968440534e-07,0.25371861457824707,0.7667938470840454,0.6360398530960083,0.29811444878578186
5,0.8092134594917297,0.6942789554595947,1.2499999968440534e-07,0.24589158594608307,0.767212450504303,0.6366017460823059,0.2976221740245819
6,0.801265299320221,0.6859562993049622,1.2499999968440534e-07,0.2531506419181824,0.7678031921386719,0.6372391581535339,0.2969454526901245
7,0.8092249631881714,0.6931532621383667,1.2499999968440534e-07,0.24636255204677582,0.7674989104270935,0.6370124816894531,0.2973109483718872
8,0.8033639192581177,0.6881659626960754,1.2499999968440534e-07,0.25120827555656433,0.7674863934516907,0.6368522047996521,0.29728344082832336
9,0.8016469478607178,0.6868880391120911,1.2499999968440534e-07,0.25238466262817383,0.767673671245575,0.6371327638626099,0.29702702164649963
10,0.8070263266563416,0.6924649477005005,1.2499999968440534e-07,0.2475849837064743,0.7669371366500854,0.6362397074699402,0.29796871542930603
11,0.8069887757301331,0.691105306148529,1.2499999968440534e-07,0.24838846921920776,0.7676642537117004,0.6372058987617493,0.2970719039440155
12,0.804314374923706,0.6881457567214966,1.2499999968440534e-07,0.2507663667201996,0.7672404050827026,0.6366563439369202,0.2975347340106964
13,0.8130912780761719,0.6983134746551514,6.249999984220267e-08,0.2422507107257843,0.7672937512397766,0.6367394328117371,0.29750221967697144
14,0.8064938187599182,0.6911602020263672,6.249999984220267e-08,0.2484172284603119,0.767360270023346,0.636818528175354,0.29741370677948
15,0.8016447424888611,0.6864488124847412,6.249999984220267e-08,0.25338515639305115,0.7676318883895874,0.6370798945426941,0.29707708954811096
16,0.8043274879455566,0.6924760937690735,6.249999984220267e-08,0.25029611587524414,0.7674166560173035,0.6368184089660645,0.2973412275314331
17,0.7988206148147583,0.6831007599830627,6.249999984220267e-08,0.255809485912323,0.7674145102500916,0.636842668056488,0.29734450578689575
18,0.8034533262252808,0.6880926489830017,6.249999984220267e-08,0.2513061761856079,0.7674573063850403,0.6367750763893127,0.29730844497680664
19,0.8087658286094666,0.6929340362548828,3.1249999921101335e-08,0.2467540055513382,0.7673935890197754,0.6367313265800476,0.2973860502243042
20,0.8002007603645325,0.685478150844574,3.1249999921101335e-08,0.2540203332901001,0.7673903703689575,0.6367254853248596,0.2973933219909668
21,0.8082544207572937,0.6942435503005981,3.1249999921101335e-08,0.24593980610370636,0.7673088312149048,0.6366763114929199,0.29750505089759827
22,0.8060214519500732,0.6904485821723938,3.1249999921101335e-08,0.2489447295665741,0.7674064040184021,0.6366877555847168,0.29739999771118164
23,0.8078734278678894,0.6918937563896179,3.1249999921101335e-08,0.24745026230812073,0.7673887610435486,0.6366947293281555,0.2974216938018799
24,0.8058847188949585,0.6918470859527588,3.1249999921101335e-08,0.24843816459178925,0.7674177885055542,0.6367544531822205,0.29739564657211304
