epoch,dice_coef,iou_metric,learning_rate,loss,val_dice_coef,val_iou_metric,val_loss
0,0.48945051431655884,0.41064101457595825,9.999999747378752e-05,0.5426087975502014,0.09995317459106445,0.030317923054099083,0.8766180872917175
1,0.5470611453056335,0.4461154639720917,9.999999747378752e-05,0.4824194014072418,0.45222851634025574,0.31953370571136475,0.6804313659667969
2,0.5777895450592041,0.46393001079559326,9.999999747378752e-05,0.451152503490448,0.337694376707077,0.23591288924217224,0.6589561700820923
3,0.6133389472961426,0.49203726649284363,9.999999747378752e-05,0.41568899154663086,0.24938970804214478,0.15634484589099884,0.7472197413444519
4,0.6296846866607666,0.5053806304931641,9.999999747378752e-05,0.399061918258667,0.1865905374288559,0.11156407743692398,0.8065199851989746
5,0.6401204466819763,0.5119931101799011,9.999999747378752e-05,0.38883090019226074,0.040307145565748215,0.01413777843117714,0.9399321675300598
6,0.6529098153114319,0.5243769884109497,9.999999747378752e-05,0.37623509764671326,0.41680678725242615,0.30341431498527527,0.6107088923454285
7,0.6836245059967041,0.555152177810669,4.999999873689376e-05,0.3458220660686493,0.6185473799705505,0.4965761601924896,0.4059518873691559
8,0.6915860176086426,0.5670522451400757,4.999999873689376e-05,0.3368276059627533,0.6224117875099182,0.4771227240562439,0.4148292541503906
9,0.6996784806251526,0.5764826536178589,4.999999873689376e-05,0.32761967182159424,0.5757099986076355,0.44478288292884827,0.4510479271411896
10,0.7192255258560181,0.5974843502044678,4.999999873689376e-05,0.3085629940032959,0.6152290105819702,0.48071369528770447,0.41652917861938477
11,0.7241660952568054,0.59935063123703,4.999999873689376e-05,0.30449381470680237,0.7053878903388977,0.5718722939491272,0.32855135202407837
12,0.7262052893638611,0.6033305525779724,4.999999873689376e-05,0.30182352662086487,0.47693556547164917,0.351267009973526,0.5494657158851624
13,0.7414087057113647,0.6185356974601746,4.999999873689376e-05,0.28667283058166504,0.6731005907058716,0.5369914174079895,0.356345534324646
14,0.7438515424728394,0.6217024326324463,4.999999873689376e-05,0.2839648425579071,0.6373657584190369,0.49862244725227356,0.39435967803001404
15,0.746791422367096,0.6295725107192993,4.999999873689376e-05,0.2797878384590149,0.7192621827125549,0.5884694457054138,0.3167612850666046
16,0.7476794719696045,0.6277427077293396,4.999999873689376e-05,0.2792893350124359,0.6610962748527527,0.5244618654251099,0.3690105676651001
17,0.7529171705245972,0.6353991627693176,4.999999873689376e-05,0.2727290093898773,0.5599159598350525,0.42304664850234985,0.48498380184173584
18,0.7594607472419739,0.6432558298110962,4.999999873689376e-05,0.26613396406173706,0.6745352745056152,0.5350320339202881,0.3579776883125305
19,0.7704797387123108,0.6536620259284973,4.999999873689376e-05,0.2560456693172455,0.7033208608627319,0.5657345652580261,0.3370767831802368
20,0.7708995342254639,0.6566823124885559,4.999999873689376e-05,0.2546100616455078,0.588796079158783,0.44072529673576355,0.4503626823425293
21,0.7969111204147339,0.6891095042228699,2.499999936844688e-05,0.22748002409934998,0.7326831817626953,0.6087297797203064,0.2950509190559387
22,0.7983737587928772,0.691164493560791,2.499999936844688e-05,0.22590824961662292,0.7489973306655884,0.6260573863983154,0.27845653891563416
23,0.8048248291015625,0.6974554061889648,2.499999936844688e-05,0.21923828125,0.7330721616744995,0.5984169840812683,0.3000924289226532
24,0.8108606338500977,0.7068222761154175,2.499999936844688e-05,0.21233174204826355,0.7329007983207703,0.6056677103042603,0.29635849595069885
25,0.8071863651275635,0.7033318281173706,2.499999936844688e-05,0.21464475989341736,0.7512398362159729,0.6232441067695618,0.28198936581611633
26,0.8086679577827454,0.7036128044128418,2.499999936844688e-05,0.2146015763282776,0.6790139675140381,0.5545437335968018,0.351753294467926
27,0.8182848691940308,0.717430830001831,2.499999936844688e-05,0.2037484049797058,0.7284939289093018,0.6019386649131775,0.300861120223999
28,0.8301342725753784,0.7311944961547852,1.249999968422344e-05,0.19151796400547028,0.7468383312225342,0.6192380785942078,0.2817780375480652
29,0.8329241871833801,0.7343068718910217,1.249999968422344e-05,0.18777412176132202,0.7748197317123413,0.6551368832588196,0.2532314658164978
30,0.8351597785949707,0.7368093132972717,1.249999968422344e-05,0.18690481781959534,0.7720179557800293,0.6510388255119324,0.2561935782432556
31,0.8294892907142639,0.7314903140068054,1.249999968422344e-05,0.19194860756397247,0.7288081049919128,0.595735490322113,0.3020502030849457
32,0.8291768431663513,0.7322266697883606,1.249999968422344e-05,0.1902719885110855,0.7651421427726746,0.6417872309684753,0.26377004384994507
33,0.8296306729316711,0.7337883710861206,1.249999968422344e-05,0.19073885679244995,0.7257826924324036,0.590639054775238,0.30704784393310547
34,0.8416467308998108,0.7474780678749084,1.249999968422344e-05,0.17867186665534973,0.742015540599823,0.6127855777740479,0.2893296778202057
35,0.8413726091384888,0.7474444508552551,6.24999984211172e-06,0.1788531243801117,0.7678471207618713,0.6440268754959106,0.26084691286087036
36,0.8411970734596252,0.748030960559845,6.24999984211172e-06,0.1788504272699356,0.7826688289642334,0.6601213216781616,0.24649424850940704
37,0.8506390452384949,0.7576772570610046,6.24999984211172e-06,0.16985934972763062,0.7564021348953247,0.6289438009262085,0.273817777633667
38,0.8475857377052307,0.7541439533233643,6.24999984211172e-06,0.17270924150943756,0.7782691717147827,0.6572628617286682,0.2500554919242859
39,0.8498095273971558,0.757756769657135,6.24999984211172e-06,0.1702367514371872,0.783888041973114,0.6638965010643005,0.2441144734621048
