pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_fp,val_fn,fp_rate,fn_rate,seg_score,cls_score,balanced_score,is_best_seg,is_best_cls,is_best_balanced
0.4699999988079071,1,360,0.6507195265431696,0.7884071352882412,0.7657252277085996,0.8124738044759287,0.7884071352881947,0.9009009009009009,0.8461538461538461,0.9821428571428571,0.9090909090909091,50,5,0.18181818181818182,0.017857142857142856,0.7057945700411945,0.8998918086418086,0.7367385664957985,True,False,False
0.4699999988079071,1,320,0.6506920839587571,0.7883869926827325,0.7655967035322103,0.8125757546236657,0.7883869926826861,0.9009009009009009,0.8440366972477065,0.9857142857142858,0.9093904448105437,51,4,0.18545454545454546,0.014285714285714285,0.7057700474483436,0.900566736145422,0.7368386462190124,False,False,False
0.4699999988079071,1,300,0.6506920839587571,0.7883869926827325,0.7655967035322103,0.8125757546236657,0.7883869926826861,0.9009009009009009,0.8440366972477065,0.9857142857142858,0.9093904448105437,51,4,0.18545454545454546,0.014285714285714285,0.7057700474483436,0.900566736145422,0.7368386462190124,True,False,True
0.4699999988079071,1,340,0.6506368853578596,0.7883464753869988,0.7656107963582316,0.8124738044759287,0.7883464753869524,0.8990990990990991,0.843558282208589,0.9821428571428571,0.9075907590759076,51,5,0.18545454545454546,0.017857142857142856,0.7057207213695116,0.89823606200341,0.7363072489173795,False,False,False
0.4699999988079071,1,380,0.6505912777014128,0.7883129960645101,0.7656909144724451,0.8123124966866202,0.7883129960644637,0.8990990990990991,0.845679012345679,0.9785714285714285,0.9072847682119205,50,6,0.18181818181818182,0.02142857142857143,0.705679965046648,0.8975594123839158,0.736153330502421,False,False,False
0.4699999988079071,1,280,0.650555647859339,0.7882868398930117,0.7654078338378225,0.8125757546236657,0.7882868398929652,0.8972972972972973,0.8389057750759878,0.9857142857142858,0.9064039408866995,53,4,0.19272727272727272,0.014285714285714285,0.7056481246728044,0.8972691023635999,0.7359996409168879,True,False,False
0.4699999988079071,1,260,0.6504912264793833,0.7882395447407369,0.7653186596148832,0.8125757546236657,0.7882395447406904,0.8990990990990991,0.8393939393939394,0.9892857142857143,0.9081967213114754,53,3,0.19272727272727272,0.010714285714285714,0.705590553783921,0.8995988220389859,0.7364432109010015,True,False,False
0.4699999988079071,1,240,0.6504327155518088,0.7881965855655053,0.7652376695391693,0.8125757546236657,0.7881965855654589,0.8972972972972973,0.8368580060422961,0.9892857142857143,0.9067103109656302,54,3,0.19636363636363635,0.010714285714285714,0.7055382635572838,0.8979568288738341,0.7360320468727043,True,False,False
0.46000000834465027,1,360,0.6503522131854282,0.7881374751273391,0.7634023932738965,0.8145291194543084,0.7881374751272928,0.9009009009009009,0.8461538461538461,0.9821428571428571,0.9090909090909091,50,5,0.18181818181818182,0.017857142857142856,0.705466317962189,0.8998918086418086,0.736469399791014,True,False,False
0.4699999988079071,1,220,0.6503265734036233,0.7881186474048653,0.7650907555030323,0.8125757546236657,0.7881186474048187,0.8936936936936937,0.8318318318318318,0.9892857142857143,0.9037520391517129,56,3,0.20363636363636364,0.010714285714285714,0.7054434030041165,0.8946847885246743,0.7352198394108038,False,False,False
